timestamp,open,high,low,close,volume,Stock Code,{
2011-09-30,32.94,32.94,26.82,27.56,14700.0,JHX,
2011-08-31,31.5,32.24,25.28,31.94,42700.0,JHX,
2011-07-29,30.77,32.67,29.5,31.06,42100.0,JHX,
2011-06-30,30.59,31.4599,28.17,31.4599,8700.0,JHX,
2011-05-31,32.14,32.14,27.5701,31.5,21300.0,JHX,
2011-04-29,31.61,33.34,29.83,31.79,13600.0,JHX,
2011-03-31,33.03,33.03,28.63,31.61,204100.0,JHX,
2011-02-28,31.76,33.93,31.38,33.43,32300.0,JHX,
2011-01-31,35.5,35.55,29.97,31.14,111300.0,JHX,
2010-12-31,26.34,35.5,26.32,35.27,78200.0,JHX,
2010-11-30,26.62,28.91,25.1,25.86,47600.0,JHX,
2010-10-29,27.03,28.35,26.04,26.3,33900.0,JHX,
2010-09-30,24.55,28.24,24.0301,26.76,51400.0,JHX,
2010-08-31,29.48,30.4,22.01,24.04,54000.0,JHX,
2010-07-30,25.93,30.31,25.82,29.2,28600.0,JHX,
2010-06-30,30.62,31.62,25.84,25.865,63100.0,JHX,
2010-05-28,36.96,36.96,28.91,30.7,47200.0,JHX,
2010-04-30,33.08,35.75,31.96,35.46,119400.0,JHX,
2010-03-31,33.985,36.04,32.25,32.99,93300.0,JHX,
2010-02-26,33.5,35.58,31.9,33.21,85200.0,JHX,
2010-01-29,38.78,41.215,33.19,33.19,61800.0,JHX,
2009-12-31,37.57,39.91,34.67,38.195,64800.0,JHX,
2009-11-30,31.31,37.6827,31.18,36.97,55600.0,JHX,
2009-10-30,33.0,37.12,30.67,30.71,49500.0,JHX,
2009-09-30,28.85,34.5,28.26,34.02,78800.0,JHX,
2009-08-31,21.25,30.75,20.53,28.85,447500.0,JHX,
2009-07-31,16.7401,21.13,14.5,20.4,16900.0,JHX,
2009-06-30,18.5,18.69,15.66,16.74,13600.0,JHX,
2009-05-29,16.31,18.99,16.07,17.12,87500.0,JHX,
2009-04-30,14.19,18.5,14.19,16.31,42500.0,JHX,
2009-03-31,10.3,14.65,9.38,14.19,34300.0,JHX,
2009-02-27,12.43,12.43,9.41,10.3,18300.0,JHX,
2009-01-30,16.09,16.6,12.43,12.43,47100.0,JHX,
2008-12-31,11.67,16.5,11.29,16.34,65100.0,JHX,
